respondent,dept,n,dept_en,dept_fr
Number of employees,000,384,,
Number of respondents,000,175,,
Number of staffing advisors,000,2,,
Number of managers or supervisors,000,56,,
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",000,30,,
Number of employees,002,22223,Employment and Social Development Canada,Emploi et Développement social Canada
Number of respondents,002,10885,Employment and Social Development Canada,Emploi et Développement social Canada
Number of staffing advisors,002,57,Employment and Social Development Canada,Emploi et Développement social Canada
Number of managers or supervisors,002,2174,Employment and Social Development Canada,Emploi et Développement social Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",002,967,Employment and Social Development Canada,Emploi et Développement social Canada
Number of employees,003,24553,Department of National Defence,Ministère de la Défense nationale
Number of respondents,003,10997,Department of National Defence,Ministère de la Défense nationale
Number of staffing advisors,003,94,Department of National Defence,Ministère de la Défense nationale
Number of managers or supervisors,003,3841,Department of National Defence,Ministère de la Défense nationale
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",003,1724,Department of National Defence,Ministère de la Défense nationale
Number of employees,004,17105,Correctional Service Canada,Service correctionnel Canada
Number of respondents,004,5188,Correctional Service Canada,Service correctionnel Canada
Number of staffing advisors,004,32,Correctional Service Canada,Service correctionnel Canada
Number of managers or supervisors,004,1232,Correctional Service Canada,Service correctionnel Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",004,495,Correctional Service Canada,Service correctionnel Canada
Number of employees,005,10605,Fisheries and Oceans Canada,Pêches et Océans Canada
Number of respondents,005,3720,Fisheries and Oceans Canada,Pêches et Océans Canada
Number of staffing advisors,005,51,Fisheries and Oceans Canada,Pêches et Océans Canada
Number of managers or supervisors,005,1312,Fisheries and Oceans Canada,Pêches et Océans Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",005,575,Fisheries and Oceans Canada,Pêches et Océans Canada
Number of employees,006,8170,Health Canada,Santé Canada
Number of respondents,006,3737,Health Canada,Santé Canada
Number of staffing advisors,006,43,Health Canada,Santé Canada
Number of managers or supervisors,006,1087,Health Canada,Santé Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",006,542,Health Canada,Santé Canada
Number of employees,007,12563,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
Number of respondents,007,6175,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
Number of staffing advisors,007,52,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
Number of managers or supervisors,007,1925,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",007,827,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
Number of employees,008,4953,Statistics Canada,Statistique Canada
Number of respondents,008,2776,Statistics Canada,Statistique Canada
Number of staffing advisors,008,19,Statistics Canada,Statistique Canada
Number of managers or supervisors,008,1136,Statistics Canada,Statistique Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",008,407,Statistics Canada,Statistique Canada
Number of employees,009,4742,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
Number of respondents,009,2143,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
Number of staffing advisors,009,25,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
Number of managers or supervisors,009,716,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",009,330,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
Number of employees,010,4388,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
