final_dept_e,DPTSIZE_e,theme_en,theme_fr,question_name,question_value,total_respondants,total_w_resp,shr_w_resp
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05A_e,Strongly disagree,220,455.8004,0.086343496
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05A_e,Somewhat disagree,220,455.8004,0.1789535507
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05A_e,Neither agree nor disagree,220,455.8004,0.1457455939
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05A_e,Somewhat agree,220,455.8004,0.3301348573
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05A_e,Strongly agree,220,455.8004,0.2588225021
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05B_e,Strongly disagree,228,470.5128,0.0364036855
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05B_e,Somewhat disagree,228,470.5128,0.1159328715
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05B_e,Neither agree nor disagree,228,470.5128,0.1630603886
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05B_e,Somewhat agree,228,470.5128,0.4199938875
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05B_e,Strongly agree,228,470.5128,0.2646091668
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05C_e,Strongly disagree,214,442.3668,0.1607640989
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05C_e,Somewhat disagree,214,442.3668,0.1571205163
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05C_e,Neither agree nor disagree,214,442.3668,0.2450588516
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05C_e,Somewhat agree,214,442.3668,0.2866752207
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05C_e,Strongly agree,214,442.3668,0.1503813125
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05D_e,Strongly disagree,227,467.9865,0.0527489575
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05D_e,Somewhat disagree,227,467.9865,0.1092941784
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05D_e,Neither agree nor disagree,227,467.9865,0.2138157831
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05D_e,Somewhat agree,227,467.9865,0.3599249124
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)","Perception of merit, fairness and transparency","Perception du mérite, de l'équité et de la transparence",ALL_05D_e,Strongly agree,227,467.9865,0.2642161686
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15A_e,Not at all,228,469.7636,0.0090160242
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15A_e,To a minimal extent,228,469.7636,0.1120693472
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15A_e,To a moderate extent,228,469.7636,0.376073838
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15A_e,To a great extent,228,469.7636,0.5028407906
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15B_e,Not at all,228,469.7636,0.0090160242
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15B_e,To a minimal extent,228,469.7636,0.0464422957
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15B_e,To a moderate extent,228,469.7636,0.173387423
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15B_e,To a great extent,228,469.7636,0.7711542572
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15C_e,Not at all,215,445.3261,0.0943897068
